$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1203781282,1,202,940GZZLUKSX,King's Cross St. Pancras Underground Station,circle,Circle,Eastbound - Platform 2,outbound,,940GZZLUERC,Edgware Road (Circle Line) Underground Station,2026-05-29T06:34:27.89245Z,77,At Euston Square Platform 2,Edgware Road (Circle),2026-05-29T06:35:44Z,2026-05-29T06:35:44Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2026-05-29T06:34:21.921Z', 'sent': '2026-05-29T06:34:27Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1608179923,1,205,940GZZLUKSX,King's Cross St. Pancras Underground Station,circle,Circle,Eastbound - Platform 2,outbound,,940GZZLUERC,Edgware Road (Circle Line) Underground Station,2026-05-29T06:34:27.89245Z,1547,At Hammersmith Platform 2,Edgware Road (Circle),2026-05-29T07:00:14Z,2026-05-29T07:00:14Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2026-05-29T06:34:21.921Z', 'sent': '2026-05-29T06:34:27Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1836779111,1,217,940GZZLUKSX,King's Cross St. Pancras Underground Station,circle,Circle,Eastbound - Platform 2,outbound,,940GZZLUERC,Edgware Road (Circle Line) Underground Station,2026-05-29T06:34:27.89245Z,1367,At South Kensington Platform 1,Edgware Road (Circle),2026-05-29T06:57:14Z,2026-05-29T06:57:14Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2026-05-29T06:34:21.921Z', 'sent': '2026-05-29T06:34:27Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-134623978,1,171,940GZZLUKSX,King's Cross St. Pancras Underground Station,hammersmith-city,Hammersmith & City,Eastbound - Platform 2,outbound,,940GZZLUBKG,Barking Underground Station,2026-05-29T06:34:27.89245Z,1187,At Shepherds Bush Market Platform 1,Barking,2026-05-29T06:54:14Z,2026-05-29T06:54:14Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2026-05-29T06:34:21.921Z', 'sent': '2026-05-29T06:34:27Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-135017199,1,211,940GZZLUKSX,King's Cross St. Pancras Underground Station,hammersmith-city,Hammersmith & City,Westbound - Platform 1,inbound,,940GZZLUHSC,Hammersmith (H&C Line) Underground Station,2026-05-29T06:34:27.89245Z,347,Between Liverpool Street and Moorgate,Hammersmith,2026-05-29T06:40:14Z,2026-05-29T06:40:14Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2026-05-29T06:34:21.921Z', 'sent': '2026-05-29T06:34:27Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1384859276,1,212,940GZZLUKSX,King's Cross St. Pancras Underground Station,hammersmith-city,Hammersmith & City,Westbound - Platform 1,inbound,,940GZZLUHSC,Hammersmith (H&C Line) Underground Station,2026-05-29T06:34:27.89245Z,947,At Cannon Street Platform 2,Hammersmith,2026-05-29T06:50:14Z,2026-05-29T06:50:14Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2026-05-29T06:34:21.921Z', 'sent': '2026-05-29T06:34:27Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",824357419,1,213,940GZZLUKSX,King's Cross St. Pancras Underground Station,hammersmith-city,Hammersmith & City,Westbound - Platform 1,inbound,,940GZZLUHSC,Hammersmith (H&C Line) Underground Station,2026-05-29T06:34:27.89245Z,1607,Between St James's Park and Westminster,Hammersmith,2026-05-29T07:01:14Z,2026-05-29T07:01:14Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2026-05-29T06:34:21.921Z', 'sent': '2026-05-29T06:34:27Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",824816171,1,263,940GZZLUKSX,King's Cross St. Pancras Underground Station,hammersmith-city,Hammersmith & City,Eastbound - Platform 2,outbound,,940GZZLUBKG,Barking Underground Station,2026-05-29T06:34:27.89245Z,707,Left Paddington,Barking,2026-05-29T06:46:14Z,2026-05-29T06:46:14Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2026-05-29T06:34:21.921Z', 'sent': '2026-05-29T06:34:27Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1251514621,1,265,940GZZLUKSX,King's Cross St. Pancras Underground Station,hammersmith-city,Hammersmith & City,Eastbound - Platform 2,outbound,,940GZZLUBKG,Barking Underground Station,2026-05-29T06:34:27.89245Z,1307,At Hammersmith Platform 3,Barking,2026-05-29T06:56:14Z,2026-05-29T06:56:14Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2026-05-29T06:34:21.921Z', 'sent': '2026-05-29T06:34:27Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",1385252492,1,272,940GZZLUKSX,King's Cross St. Pancras Underground Station,hammersmith-city,Hammersmith & City,Westbound - Platform 1,inbound,,940GZZLUHSC,Hammersmith (H&C Line) Underground Station,2026-05-29T06:34:27.89245Z,1247,Left Bow Road,Hammersmith,2026-05-29T06:55:14Z,2026-05-29T06:55:14Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2026-05-29T06:34:21.921Z', 'sent': '2026-05-29T06:34:27Z', 'received': '0001-01-01T00:00:00'}"
